"departamento_id","departamento_nombre","departamento_centroide_lat","departamento_centroide_lon","provincia_id","provincia_nombre"
"06014","Adolfo Gonzales Chaves",-37.9646159068483,-60.2482821323384,"06","Buenos Aires"
"30015","Concordia",-31.2902983724746,-58.2378696898985,"30","Entre Ríos"
"30035","Federal",-30.9924267798293,-58.8918600477175,"30","Entre Ríos"
"30056","Gualeguaychú",-33.0223490410459,-58.7858051710614,"30","Entre Ríos"
"30063","Islas del Ibicuy",-33.6249961546235,-58.9338958542555,"30","Entre Ríos"
"30105","Victoria",-32.7839424597941,-60.2180700308372,"30","Entre Ríos"
"30021","Diamante",-32.228040549074,-60.5239335893593,"30","Entre Ríos"
"30098","Uruguay",-32.4477599400377,-58.5842252100111,"30","Entre Ríos"
"30084","Paraná",-31.6952294494901,-60.0411744815271,"30","Entre Ríos"
"06707","Saladillo",-35.676806451923,-59.7026607444531,"06","Buenos Aires"
"06455","Las Flores",-36.015826657022,-59.1764609497072,"06","Buenos Aires"
"06686","Rojas",-34.1928173894529,-60.7880234647739,"06","Buenos Aires"
"06252","Escobar",-34.3286828340822,-58.7711786108511,"06","Buenos Aires"
"06412","José C. Paz",-34.511853162718,-58.7776345982883,"06","Buenos Aires"
"06056","Bahía Blanca",-38.5841892126256,-62.1694174494415,"06","Buenos Aires"
"06735","San Antonio de Areco",-34.2207575658705,-59.5194434817548,"06","Buenos Aires"
"06511","Maipú",-36.886933208215,-57.5861191040468,"06","Buenos Aires"
"06280","General Alvarado",-38.2026277127362,-58.0718053725136,"06","Buenos Aires"
"06357","General Pueyrredón",-37.9656831422541,-57.743028347627,"06","Buenos Aires"
"06518","Mar Chiquita",-37.4986405981654,-57.6432660560016,"06","Buenos Aires"
"06868","Villa Gesell",-37.3670719558785,-57.0633978822493,"06","Buenos Aires"
"06644","Pinamar",-37.1110742904936,-56.8702834122236,"06","Buenos Aires"
"06336","General Lavalle",-36.650750377237,-56.9410029895247,"06","Buenos Aires"
"06420","La Costa",-36.6971678213727,-56.7159402751909,"06","Buenos Aires"
"06505","Magdalena",-35.1851030703307,-57.6861279818118,"06","Buenos Aires"
"18175","Sauce",-29.9995030631702,-58.7949968561603,"18","Corrientes"
"06861","Vicente López",-34.52653142362,-58.5044865130649,"06","Buenos Aires"
"66098","La Viña",-25.4471786730855,-65.5805831392571,"66","Salta"
"06672","Rauch",-36.5721944489319,-58.9441413666159,"06","Buenos Aires"
"66112","Metán",-25.4252109663753,-64.5880714654829,"66","Salta"
"66119","Molinos",-25.5643165283563,-66.4548727525442,"66","Salta"
"22112","O'Higgins",-27.2556537688374,-60.6799749172166,"22","Chaco"
"06560","Moreno",-34.6106807864965,-58.8108985084565,"06","Buenos Aires"
"06427","La Matanza",-34.7703481015398,-58.6254456945004,"06","Buenos Aires"
"06791","Tandil",-37.3364293166464,-59.1819827896233,"06","Buenos Aires"
"06203","Coronel Suárez",-37.534856250067,-61.8890922422146,"06","Buenos Aires"
"46035","Chamical",-30.1676450229169,-65.9564977168655,"46","La Rioja"
"26035","Futaleufú",-43.0705971248375,-71.4554653748233,"26","Chubut"
"78049","Río Chico",-48.2873290195571,-71.113837498627,"78","Santa Cruz"
"62077","San Antonio",-40.9526636914294,-65.3712443332326,"62","Río Negro"
"86014","Alberdi",-26.5210423501695,-62.7280139284021,"86","Santiago del Estero"
"86098","Juan Felipe Ibarra",-28.0394929915456,-62.5443747130478,"86","Santiago del Estero"
"86077","General Taboada",-28.5683250686056,-62.3387633833787,"86","Santiago del Estero"
