"localidad_id","localidad_nombre","localidad_centroide_lat","localidad_centroide_lon","provincia_id","provincia_nombre","departamento_id","departamento_nombre","municipio_id","municipio_nombre","localidad_censal_id","localidad_censal_nombre","localidad_categoria"
"1401401002","La Floresta",-31.3968471082745,-64.0598690981123,"14","Córdoba","14014","Capital","140077","Córdoba","14014010","Córdoba","Entidad"
"5002802001","Bermejo",-32.8673131267475,-68.779539700913,"50","Mendoza","50028","Guaymallén","500028","Guaymallén","50028020","Guaymallén","Entidad"
"0602801008","Malvinas Argentinas",-34.818755035018,-58.4233878258472,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801009","Ministro Rivadavia",-34.844020734727,-58.3627535292892,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801001","Adrogué",-34.7973726678595,-58.3884529337359,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801002","Burzaco",-34.8281717078487,-58.391033876775,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801003","Claypole",-34.7975588663845,-58.3352044170245,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801004","Don Orione",-34.8192915430555,-58.3418543079073,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801005","Glew",-34.8883362582313,-58.3827874554173,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801006","José Mármol",-34.7863165982708,-58.3698423146283,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801007","Longchamps",-34.8607298436239,-58.3891848898302,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801010","Rafael Calzada",-34.7973596083698,-58.3616711607296,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801011","San Francisco Solano",-34.7856525531101,-58.3195680327004,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0602801012","San José",-34.7636323626806,-58.3433914665336,"06","Buenos Aires","06028","Almirante Brown","060028","Almirante Brown","06028010","Almirante Brown","Entidad"
"0603501005","Gerli",-34.6837730568077,-58.3744414837129,"06","Buenos Aires","06035","Avellaneda","060035","Avellaneda","06035010","Avellaneda","Entidad"
"0603501006","Piñeyro",-34.6680837299877,-58.3877465009579,"06","Buenos Aires","06035","Avellaneda","060035","Avellaneda","06035010","Avellaneda","Entidad"
"0603501007","Sarandí",-34.6817960638597,-58.3463107872911,"06","Buenos Aires","06035","Avellaneda","060035","Avellaneda","06035010","Avellaneda","Entidad"
"0603501008","Villa Domínico",-34.6945766428955,-58.3304564528104,"06","Buenos Aires","06035","Avellaneda","060035","Avellaneda","06035010","Avellaneda","Entidad"
"0603501009","Wilde",-34.7040788191542,-58.3172095095929,"06","Buenos Aires","06035","Avellaneda","060035","Avellaneda","06035010","Avellaneda","Entidad"
"0603501001","Área Reserva Cinturón Ecológico",-34.6844598100355,-58.3077371090541,"06","Buenos Aires","06035","Avellaneda","060035","Avellaneda","06035010","Avellaneda","Entidad"
"0603501002","Avellaneda",-34.6638295089907,-58.3627373569237,"06","Buenos Aires","06035","Avellaneda","060035","Avellaneda","06035010","Avellaneda","Entidad"
